name;search_name;address;zipcode;city;country_code;type
Evenew;;Universitetsvägen 6d;10405;Stockholm;SE;6
Vasateatern;;Vasagatan 19;11120;Stockholm;SE;8
Strindbergs Intima Teater;;Barnhusgatan 20;11123;Stockholm;SE;8
Scalateatern;;Wallingatan 32;11124;Stockholm;SE;8
Dansens Hus;;Barnhusgatan 12-14;11124;Stockholm;SE;4
Tyska kyrkan;;Svartmangatan 16;11129;Stockholm;SE;7
Storkyrkan;;Trångsund 1;11129;Stockholm;SE;7
Ångbåten Blidösund;;Skeppsbrokajen 101;11130;Stockholm;SE;9
Hyde Stockholm;;Jakobsbergsgatan 15;11144;Stockholm;SE;3
Wallmans Stockholm;;Teatergatan 3;11148;Stockholm;SE;10
MDT;;Slupskjulsvägen 30;11149;Stockholm;SE;8
Teater Galeasen;;Slupskjulsvägen 32;11149;Stockholm;SE;8
Medelhavsmuseet;;Fredsgatan 2;11152;Stockholm;SE;4
Konstakadmien;;Fredsgatan 12;11152;Stockholm;SE;4
Hamburger Börs;;Jakobsgatan 6;11152;Stockholm;SE;4
Unga Klara;;Sergelgatan 7;11157;Stockholm;SE;8
The Laugh House på Scandic Klara;;Slöjdgatan 7;11157;Stockholm;SE;4
Citykonferensen;;Malmskillnadsgatan 46;11157;Stockholm;SE;4
Adolf Fredriks kyrka;;Holländargatan 14;11160;Stockholm;SE;7
Elverket;;Linnégatan 69;11212;Stockholm;SE;4
Blå Hallen;;Hantverkargatan 1;11221;Stockholm;SE;4
Ö2 Kungsholmen;;Bergsgatan 11;11223;Stockholm;SE;8
Le Bistrot de Wasahof;;Dalagatan 46;11324;Stockholm;SE;10
Gustav Vasa Kyrka;;Karlbergsvägen 5;11327;Stockholm;SE;7
Filadelfia Convention Center;;Rörstrandsgatan 5;11340;Stockholm;SE;4
Stefanskyrkan;;Frejgatan 20b;11349;Stockholm;SE;7
Restaurang Sue Ellen;;Tulegatan 17;11353;Stockholm;SE;10
Dansens Hus C/O Accelerator;Dansens Hus co Accelerator;Frescativägen 26A;11418;Stockholm;SE;4
Engelbrektskyrkan;;Östermalmsgatan 20;11426;Stockholm;SE;7
Maximteatern;;Karlaplan 4;11460;Stockholm;SE;8
Prins Eugens Waldemarsudde;;Prins Eugens väg 6;11521;Stockholm;SE;4
Blå Porten;;Djurgårdsvägen 64;11521;Stockholm;SE;10
Cirkus;;Djurgårdsslätten 43-45;11521;Stockholm;SE;8
Tyrol;;Lilla Allmänna gränd 2;11521;Stockholm;SE;10
Etnografiska museet;;Djurgårdsbrunnsvägen 34;11527;Stockholm;SE;4
Gärdet;;Ladugårdsgärdet;11528;Stockholm;SE;5
Stora Skuggans utedansbana;;Stora Skuggan;11542;Stockholm;SE;5
Hjorthagens Kulturhus;;Artemisgatan 19;11542;Stockholm;SE;4
Stockholms konstnärliga högskola;;Valhallavägen 189;11553;Stockholm;SE;4
Banankompaniet;;Frihamnsgatan 14;11556;Stockholm;SE;4
Kungliga Musikhögskolan;;Vallhallavägen 105;11591;Stockholm;SE;4
Göta Lejon;;Götgatan 55;11621;Stockholm;SE;8
La Cucaracha;;Bondegatan 2;11623;Stockholm;SE;10
Sofia kyrka;;Klefbecks backe;11635;Stockholm;SE;7
Sofias lokal;;Erstagatan 22;11636;Stockholm;SE;4
Twang;;Katarina Bangata 25;11639;Stockholm;SE;10
Svartklubben;;Södermannagatan 27;11640;Stockholm;SE;10
Orionteatern;;Katarina Bangata 77;11642;Stockholm;SE;4
Södra Teatern;;Mosebacke Torg 1-3;11646;Stockholm;SE;4
Ö2 Södermalm;;Götgatan 73;11662;Stockholm;SE;8
Lasse i parken;;Högalidsgatan 56;11730;Stockholm;SE;5
Stora Henriksvik;;Långholmsmuren 21;11733;Stockholm;SE;5
Drakenbergssalen;;Lignagatan 8;11734;Stockholm;SE;4
